neighborhood,review_count,price,type,elite,average_rating
Westside / Home Park,3158,$$,asian,660,4.5
Westside / Home Park,22,null,asian,370,5
Westside / Home Park,420,$$,european,472,4.5
Westside / Home Park,2637,$$,bar,300,4
West Paces Ferry / Northside,143,null,european,1245,4.5
West Paces Ferry / Northside,60,null,american,1178,4
Westside / Home Park,8,null,american,188,5
West End,639,$$,specificDiet,937,4.5
Westside / Home Park,2563,$$,american,793,4.5
Westside / Home Park,539,$$,european,161,4.5
Poncey - Highland,3690,$$,meat,110,4.5
Westside / Home Park,3805,$$,american,17,4
Westside / Home Park,611,$$,asian,1126,4.5
West Paces Ferry / Northside,860,$$,american,441,4
Westside / Home Park,225,$$,mexican,527,4
Westside / Home Park,1482,$$,mediterranean,1601,5
Westside / Home Park,3364,$$,breakfast,579,4.5
West Paces Ferry / Northside,109,$$,american,93,4.5
West Paces Ferry / Northside,17,null,mexican,132,4.5
Westside / Home Park,53,$$,american,449,4.5
Westside / Home Park,1341,$$,bar,178,4
West Paces Ferry / Northside,208,$$,asian,2106,4
Westside / Home Park,995,$$,fastfood,1266,4
Westside / Home Park,496,$$,bar,1478,4
Westside / Home Park,631,$$,european,535,4
Morningside / Lenox Park,1658,$$,african,207,4.5
West End,269,$$,caribbean,3038,4
Westside / Home Park,1265,$$,american,739,4
Ormewood Park,1180,$$$,american,65,4
Westside / Home Park,909,$$,mexican,860,4
Westside / Home Park,1710,$$,fastfood,3366,4
Westside / Home Park,1256,$$,american,370,3.5
West Paces Ferry / Northside,1216,$$,specificDiet,643,4
Morningside / Lenox Park,369,$,mexican,1256,4
Westside / Home Park,3038,$$,fastfood,497,4
Westside / Home Park,698,$$,fastfood,108,4
Westside / Home Park,709,$$,meat,436,4
Westside / Home Park,1856,$$,fastfood,174,4
Morningside / Lenox Park,110,$$,asian,438,4
Reynoldstown,328,$$,american,20,4.5
Ormewood Park,620,$$,fastfood,621,4
Westside / Home Park,2107,$$,meat,145,4
Westside / Home Park,434,$$,american,60,4
Westside / Home Park,914,$$,meat,1153,4
Westside / Home Park,737,$$,american,498,4
Morningside / Lenox Park,471,$$,asian,1778,4
Morningside / Lenox Park,548,$$,meat,1560,4
Westside / Home Park,263,$$$,european,1659,4.5
West Paces Ferry / Northside,700,$$,asian,698,4
Buckhead,720,$$,asian,1342,4.5
Morningside / Lenox Park,449,$$,asian,1853,4
West Paces Ferry / Northside,795,$$,asian,2497,4.5
Westside / Home Park,487,$$,european,365,4.5
Westside / Home Park,133,$$,european,840,4.5
Westside / Home Park,67,$$,mideastern,439,4.5
Westside / Home Park,1602,$$$,meat,1710,4
Westside / Home Park,660,$$$$,american,22,4.5
Lake Claire,174,$$,american,700,4.5
Westside / Home Park,438,$,american,226,4.5
Westside / Home Park,370,$$,bar,1216,4.5
West Paces Ferry / Northside,939,$$$$,meat,5,4.5
Westside / Home Park,499,$$,asian,949,4
Westside / Home Park,17,null,fastfood,712,4.5
Westside / Home Park,161,$$$$,american,88,4
Morningside / Lenox Park,5,null,american,22,5
Westside / Home Park,1244,$$,american,332,4
West Paces Ferry / Northside,187,$$,american,287,4
Westside / Home Park,43,$$,mideastern,2560,4.5
Westside / Home Park,950,$$,caribbean,488,4
Westside / Home Park,94,$$,asian,1776,4.5
Westside / Home Park,1778,$$,american,548,3.5
Westside / Home Park,144,$$,mexican,43,4.5
Westside / Home Park,1013,$$,mexican,263,4
West Paces Ferry / Northside,643,$$$,meat,618,4.5
Westside / Home Park,254,$$$$,american,144,4
West Paces Ferry / Northside,87,$$,european,994,4
Poncey - Highland,92,$$$$,american,701,4.5
Morningside / Lenox Park,737,$$,asian,611,4
Westside / Home Park,286,$$,mediterranean,1014,4.5
Westside / Home Park,178,$$,asian,737,4.5
Westside / Home Park,578,$$,european,549,4.5
Buckhead,1554,$$,meat,722,4.5
Westside / Home Park,16,$$,asian,56,4.5
Westside / Home Park,1125,$$,american,641,3
Westside / Home Park,731,$$,specificDiet,270,4.5
West Paces Ferry / Northside,700,$,fastfood,240,4
Westside / Home Park,440,$$,caribbean,3689,4
West Paces Ferry / Northside,1777,$$$,american,537,4.5
Westside / Home Park,369,$$,american,732,4
Westside / Home Park,535,$$,american,275,4
Morningside / Lenox Park,527,$$,fastfood,911,4
Westside / Home Park,440,$$,asian,69,4
Westside / Home Park,55,null,mideastern,53,4.5
Westside / Home Park,268,$$,asian,6,4
Westside / Home Park,65,null,european,254,4
Westside / Home Park,1153,$$,european,95,4
Westside / Home Park,548,$$$$,meat,900,4.5
