friends,number_reviews,photos,area_AL,elite_user,y
414,9,0,1,0,0.137585421
0,13,6,0,0,0.137585421
0,44,27,0,0,0.137585421
545,1379,9924,0,1,0.137585421
366,328,1102,0,1,0.137585421
174,71,95,1,1,-0.089931663
45,47,246,0,1,-0.089931663
189,181,312,0,1,-0.089931663
21,71,317,0,1,-0.089931663
137,70,149,1,1,-0.089931663
217,438,3105,0,1,0.137585421
4,47,49,0,1,0.137585421
7,72,134,0,1,-0.317448747
135,253,322,1,1,0.137585421
29,46,26,0,1,-0.089931663
89,67,52,0,1,-0.089931663
11,45,21,0,0,-0.089931663
88,17,7,1,0,-0.317448747
48,67,232,0,1,-0.317448747
57,126,244,1,1,0.137585421
28,53,144,0,1,0.137585421
0,44,0,0,0,-0.089931663
0,8,26,1,0,0.137585421
227,70,114,0,1,0.137585421
412,702,546,0,1,0.137585421
110,68,189,1,1,-0.317448747
0,8,0,0,0,0.137585421
28,54,26,1,1,0.137585421
346,142,68,0,1,-0.089931663
347,87,81,0,0,0.137585421
153,952,13,0,1,0.137585421
95,59,218,0,0,-0.089931663
161,308,88,1,1,0.137585421
17,16,2,0,0,0.137585421
98,54,2,0,0,0.137585421
248,195,578,1,1,-0.089931663
31,143,651,1,1,-0.089931663
9,60,115,0,0,0.137585421
217,73,163,0,1,-0.317448747
542,344,1126,0,1,0.137585421
254,195,541,0,1,-0.317448747
239,140,252,0,1,-0.317448747
0,53,34,0,0,-0.089931663
72,6,5,0,0,0.137585421
0,15,3,0,0,-0.317448747
15,19,2,0,0,0.137585421
4,30,1,0,0,0.137585421
330,637,7410,0,1,0.137585421
10,88,181,0,1,0.137585421
0,16,27,0,0,0.137585421
1,60,207,1,0,0.137585421
85,104,69,0,1,-0.089931663
0,2,6,0,0,0.137585421
99,20,23,0,0,0.137585421
520,225,0,0,0,0.137585421
0,8,2,0,0,0.137585421
15,186,326,0,1,0.137585421
14,70,39,1,1,-0.089931663
69,17,20,0,0,0.137585421
2,102,184,0,1,-0.089931663
6,89,168,0,1,-0.772482916
234,18,15,1,0,0.137585421
240,144,308,0,1,-0.089931663
54,11,35,0,0,0.137585421
107,519,1778,1,1,-0.317448747
28,14,17,1,0,0.137585421
572,9,6,0,0,0.137585421
150,4,34,0,0,0.137585421
129,427,107,1,1,0.137585421
24,23,25,0,0,-0.772482916
60,124,298,0,1,-0.089931663
245,201,197,0,0,0.137585421
10,70,105,0,0,0.137585421
699,33,24,1,0,0.137585421
4,14,3,0,0,0.137585421
349,88,271,0,1,0.137585421
0,23,14,0,0,0.137585421
85,39,100,0,1,0.137585421
4,31,20,0,0,0.137585421
32,121,311,0,1,0.137585421
43,315,33,0,1,0.137585421
17,85,114,0,1,0.137585421
593,164,374,0,1,0.137585421
325,228,965,0,1,-0.089931663
528,18,5,0,0,0.137585421
251,9,0,0,0,0.137585421
51,15,28,0,0,0.137585421
4826,2395,3032,0,0,-0.089931663
